run_id	exp_id	profile	stage	status	return_code	family	model_id	corpus_id	dataset_id	view	train_prop	axis_values_json	make_vars_json	overrides_json	metrics_path	log_path	started_at	finished_at	duration_s	TRAIN_PROP	axis_balance	axis_family_model	axis_train_prop
ideo_learning_curve_run_000024	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.7	"{""train_prop"": ""tp_0.7"", ""family_model"": ""sklearn_svm"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.7"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.7, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000024.log	1764161847.2484064	1764161848.2493274	1.000946044921875	0.7	no_balance	sklearn_svm	tp_0.7
ideo_learning_curve_run_000025	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.7	"{""train_prop"": ""tp_0.7"", ""family_model"": ""sklearn_svm"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.7"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.7, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000025.log	1764161848.2504041	1764161849.2513707	1.0009918212890625	0.7	oversample_parity	sklearn_svm	tp_0.7
ideo_learning_curve_run_000026	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.7	"{""train_prop"": ""tp_0.7"", ""family_model"": ""spacy_cnn"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.7"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.7, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000026.log	1764161849.2524784	1764161850.2535331	1.0010802745819092	0.7	no_balance	spacy_cnn	tp_0.7
ideo_learning_curve_run_000027	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.7	"{""train_prop"": ""tp_0.7"", ""family_model"": ""spacy_cnn"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.7"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.7, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000027.log	1764161850.254596	1764161851.2553194	1.0007469654083252	0.7	oversample_parity	spacy_cnn	tp_0.7
ideo_learning_curve_run_000028	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.8	"{""train_prop"": ""tp_0.8"", ""family_model"": ""sklearn_svm"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.8"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.8, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000028.log	1764161851.2560716	1764161852.25684	1.0007832050323486	0.8	no_balance	sklearn_svm	tp_0.8
ideo_learning_curve_run_000029	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.8	"{""train_prop"": ""tp_0.8"", ""family_model"": ""sklearn_svm"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.8"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.8, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000029.log	1764161852.2575939	1764161853.258393	1.0008180141448975	0.8	oversample_parity	sklearn_svm	tp_0.8
ideo_learning_curve_run_000030	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.8	"{""train_prop"": ""tp_0.8"", ""family_model"": ""spacy_cnn"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.8"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.8, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000030.log	1764161853.2591827	1764161854.2601714	1.0010032653808594	0.8	no_balance	spacy_cnn	tp_0.8
ideo_learning_curve_run_000031	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.8	"{""train_prop"": ""tp_0.8"", ""family_model"": ""spacy_cnn"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.8"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.8, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000031.log	1764161854.2609468	1764161855.2617238	1.0007922649383545	0.8	oversample_parity	spacy_cnn	tp_0.8
ideo_learning_curve_run_000032	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.9	"{""train_prop"": ""tp_0.9"", ""family_model"": ""sklearn_svm"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.9"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.9, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000032.log	1764161855.262485	1764161856.2632227	1.0007529258728027	0.9	no_balance	sklearn_svm	tp_0.9
ideo_learning_curve_run_000033	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.9	"{""train_prop"": ""tp_0.9"", ""family_model"": ""sklearn_svm"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.9"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.9, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000033.log	1764161856.2640185	1764161857.2652779	1.001274824142456	0.9	oversample_parity	sklearn_svm	tp_0.9
ideo_learning_curve_run_000034	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.9	"{""train_prop"": ""tp_0.9"", ""family_model"": ""spacy_cnn"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.9"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.9, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000034.log	1764161857.2663307	1764161858.267802	1.0014963150024414	0.9	no_balance	spacy_cnn	tp_0.9
ideo_learning_curve_run_000035	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.9	"{""train_prop"": ""tp_0.9"", ""family_model"": ""spacy_cnn"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.9"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.9, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000035.log	1764161858.2687957	1764161859.2695823	1.0008020401000977	0.9	oversample_parity	spacy_cnn	tp_0.9
